#{"t_start": 1760174605.785933, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,19.667381
-200.0,200,19.718308
-200.0,200,19.778106
-200.0,200,19.831236
-200.0,200,19.887868
-200.0,200,19.939205
-200.0,200,19.994373
-200.0,200,20.046241
-200.0,200,20.102112
-200.0,200,20.15288
-200.0,200,20.20735
-200.0,200,20.258211
-200.0,200,20.314617
-200.0,200,20.365843
-200.0,200,20.420453
-200.0,200,20.47162
-200.0,200,20.529768
-200.0,200,20.58069
-200.0,200,20.635615
-200.0,200,20.686906
-200.0,200,20.743519
-200.0,200,20.794991
-200.0,200,20.850384
-200.0,200,20.90191
-200.0,200,20.959282
-200.0,200,21.011211
-200.0,200,21.067439
-200.0,200,21.119991
-200.0,200,21.175998
-200.0,200,21.22933
-200.0,200,21.292833
-200.0,200,21.352146
-200.0,200,21.413276
-200.0,200,21.468413
-200.0,200,21.526576
-200.0,200,21.579146
-200.0,200,21.63771
-200.0,200,21.690753
-200.0,200,21.746925
-200.0,200,21.80016
-200.0,200,21.857077
-200.0,200,21.910871
-200.0,200,21.969428
-200.0,200,22.026902
-200.0,200,22.089452
-200.0,200,22.144158
-200.0,200,22.200042
-200.0,200,22.253032
-200.0,200,22.312988
-200.0,200,22.369596
-200.0,200,22.429227
-200.0,200,22.486123
-200.0,200,22.546184
-200.0,200,22.600238
-200.0,200,22.657016
-200.0,200,22.709927
-200.0,200,22.770427
-200.0,200,22.824681
-200.0,200,22.881084
-200.0,200,22.934174
-200.0,200,22.993481
-200.0,200,23.047921
-200.0,200,23.108598
-200.0,200,23.165061
-200.0,200,23.224901
-200.0,200,23.277993
-200.0,200,23.336217
-200.0,200,23.39095
-200.0,200,23.450579
-200.0,200,23.503354
-200.0,200,23.559938
-200.0,200,23.613148
-200.0,200,23.670875
-200.0,200,23.723412
-200.0,200,23.778986
-200.0,200,23.831358
-200.0,200,23.88866
-200.0,200,23.940927
-200.0,200,23.996601
-200.0,200,24.048168
-200.0,200,24.104786
-200.0,200,24.15709
-200.0,200,24.212595
-200.0,200,24.264996
-200.0,200,24.32299
-200.0,200,24.375083
-200.0,200,24.431208
-200.0,200,24.483714
-200.0,200,24.540906
-200.0,200,24.592755
-200.0,200,24.648597
-200.0,200,24.702925
-200.0,200,24.760875
-200.0,200,24.81258
-200.0,200,24.868282
-200.0,200,24.920772
-200.0,200,24.978503
-200.0,200,25.030802
-200.0,200,25.086375
-200.0,200,25.138936
-200.0,200,25.196243
-200.0,200,25.248895
-200.0,200,25.304525
-200.0,200,25.357085
-200.0,200,25.415051
-200.0,200,25.467734
-200.0,200,25.523169
-200.0,200,25.575213
-200.0,200,25.633371
-200.0,200,25.685507
-200.0,200,25.741428
-200.0,200,25.79397
-200.0,200,25.853988
-200.0,200,25.906462
-200.0,200,25.96242
-200.0,200,26.014475
-200.0,200,26.073248
-200.0,200,26.125529
-200.0,200,26.18167
-200.0,200,26.234733
-200.0,200,26.293063
-200.0,200,26.345123
-200.0,200,26.400884
-200.0,200,26.453537
-200.0,200,26.511093
-200.0,200,26.564022
-200.0,200,26.61989
-200.0,200,26.672383
-200.0,200,26.730437
-200.0,200,26.7834
-200.0,200,26.838999
-200.0,200,26.891098
-200.0,200,26.949697
-200.0,200,27.002277
-200.0,200,27.058443
-200.0,200,27.111077
-200.0,200,27.168849
-200.0,200,27.221162
-200.0,200,27.277904
-200.0,200,27.329883
-200.0,200,27.388251
-200.0,200,27.441806
-200.0,200,27.498098
-200.0,200,27.551033
-200.0,200,27.609827
-200.0,200,27.662216
-200.0,200,27.718748
-200.0,200,27.77188
-200.0,200,27.830071
-200.0,200,27.882985
-200.0,200,27.939436
-200.0,200,27.991596
-200.0,200,28.049697
-200.0,200,28.102298
-200.0,200,28.158054
-200.0,200,28.210367
-200.0,200,28.26951
-200.0,200,28.322228
-157.0,157,28.365725
-200.0,200,28.421789
-200.0,200,28.476589
-200.0,200,28.532393
-200.0,200,28.585477
-200.0,200,28.641674
-200.0,200,28.696457
-200.0,200,28.757403
-200.0,200,28.812081
-200.0,200,28.869413
-200.0,200,28.924686
-200.0,200,28.981121
-200.0,200,29.034142
-200.0,200,29.0904
-200.0,200,29.145333
-200.0,200,29.202038
-200.0,200,29.255655
-200.0,200,29.312054
-200.0,200,29.367146
-200.0,200,29.423329
-200.0,200,29.477179
-200.0,200,29.53942
-200.0,200,29.595668
-200.0,200,29.652479
-200.0,200,29.705595
-200.0,200,29.762271
-200.0,200,29.819535
-200.0,200,29.876221
-200.0,200,29.929799
-200.0,200,29.986833
-200.0,200,30.041724
-200.0,200,30.098263
-200.0,200,30.151543
-200.0,200,30.215103
-200.0,200,30.275798
-200.0,200,30.333358
-200.0,200,30.387003
-200.0,200,30.443511
-200.0,200,30.501339
-200.0,200,30.558555
-200.0,200,30.612339
-200.0,200,30.668901
-200.0,200,30.723983
-200.0,200,30.780646
-200.0,200,30.833926
-200.0,200,30.890161
-200.0,200,30.945549
-200.0,200,31.002044
-200.0,200,31.055462
-200.0,200,31.112377
-200.0,200,31.167875
-200.0,200,31.22498
-200.0,200,31.278965
-200.0,200,31.336005
-200.0,200,31.391402
-200.0,200,31.448303
-200.0,200,31.502206
-200.0,200,31.559012
-200.0,200,31.616744
-200.0,200,31.673548
-200.0,200,31.727481
-200.0,200,31.785935
-200.0,200,31.841848
-200.0,200,31.899109
-200.0,200,31.952847
-200.0,200,32.00945
-200.0,200,32.065706
-200.0,200,32.123262
-200.0,200,32.1769
-200.0,200,32.234501
-200.0,200,32.290482
-200.0,200,32.347794
-200.0,200,32.401934
-200.0,200,32.459168
-200.0,200,32.514817
-200.0,200,32.572134
-200.0,200,32.62583
-200.0,200,32.682466
-200.0,200,32.737809
-200.0,200,32.794748
-200.0,200,32.848527
-200.0,200,32.905177
-200.0,200,32.960918
-200.0,200,33.01951
-200.0,200,33.073015
-200.0,200,33.130913
-200.0,200,33.186327
-200.0,200,33.24329
-200.0,200,33.296895
-200.0,200,33.354219
-200.0,200,33.409699
-200.0,200,33.466897
-200.0,200,33.520738
-200.0,200,33.577512
-200.0,200,33.633143
-200.0,200,33.690103
-200.0,200,33.743724
-200.0,200,33.801068
-200.0,200,33.856679
-200.0,200,33.913652
-200.0,200,33.967334
-200.0,200,34.024431
-200.0,200,34.079796
-200.0,200,34.136625
-200.0,200,34.190384
-200.0,200,34.247386
-200.0,200,34.303126
-200.0,200,34.360062
-200.0,200,34.415028
-200.0,200,34.473256
-200.0,200,34.529144
-200.0,200,34.58612
-200.0,200,34.639876
-200.0,200,34.696701
-200.0,200,34.754776
-181.0,181,34.807301
-200.0,200,34.860699
-200.0,200,34.917635
-200.0,200,34.973343
-200.0,200,35.029906
-200.0,200,35.083649
-200.0,200,35.140897
-200.0,200,35.196296
-200.0,200,35.253478
-200.0,200,35.307499
-200.0,200,35.364213
-200.0,200,35.419478
-200.0,200,35.476843
-200.0,200,35.530477
-200.0,200,35.587614
-200.0,200,35.643753
-200.0,200,35.700413
-200.0,200,35.754006
-200.0,200,35.812875
-200.0,200,35.868114
-200.0,200,35.924611
-200.0,200,35.97843
-200.0,200,36.035346
-200.0,200,36.09128
-200.0,200,36.148074
-200.0,200,36.201862
-178.0,178,36.250955
-200.0,200,36.310311
-200.0,200,36.363887
-200.0,200,36.420429
-200.0,200,36.474024
-200.0,200,36.532683
-200.0,200,36.586405
-200.0,200,36.643066
-155.0,155,36.683537
-200.0,200,36.742564
-200.0,200,36.796363
-200.0,200,36.853504
-200.0,200,36.906812
-147.0,147,36.952625
-139.0,139,36.988854
-200.0,200,37.045396
-157.0,157,37.089655
-192.0,192,37.145139
-200.0,200,37.200611
-200.0,200,37.257609
-152.0,152,37.298625
-200.0,200,37.357428
-159.0,159,37.401649
-128.0,128,37.437088
-200.0,200,37.490759
-200.0,200,37.549538
-200.0,200,37.602911
-200.0,200,37.659624
-200.0,200,37.713386
-200.0,200,37.771993
-200.0,200,37.825678
-200.0,200,37.882597
-200.0,200,37.936281
-200.0,200,37.99536
-200.0,200,38.048618
-197.0,197,38.102177
-200.0,200,38.159167
-200.0,200,38.215153
-182.0,182,38.267115
-140.0,140,38.303544
-200.0,200,38.360654
-200.0,200,38.416183
-200.0,200,38.473385
-149.0,149,38.513757
-200.0,200,38.572288
-200.0,200,38.62947
-200.0,200,38.686808
-138.0,138,38.723097
-200.0,200,38.779921
-200.0,200,38.83557
-117.0,117,38.870078
-200.0,200,38.923605
-200.0,200,38.980812
-200.0,200,39.036737
-200.0,200,39.093713
-181.0,181,39.142861
-200.0,200,39.199841
-200.0,200,39.255607
-200.0,200,39.31271
-200.0,200,39.366696
-120.0,120,39.401496
-200.0,200,39.456678
-200.0,200,39.513943
-200.0,200,39.567547
-200.0,200,39.624461
-178.0,178,39.675651
-143.0,143,39.715428
-150.0,150,39.755683
-200.0,200,39.809369
-162.0,162,39.85903
-200.0,200,39.913033
-200.0,200,39.971304
-187.0,187,40.020853
-200.0,200,40.085692
-200.0,200,40.139448
-200.0,200,40.19677
-200.0,200,40.250552
-160.0,160,40.296889
-200.0,200,40.353469
-126.0,126,40.388458
-159.0,159,40.432197
-200.0,200,40.487649
-200.0,200,40.544172
-200.0,200,40.597474
-159.0,159,40.641382
-200.0,200,40.700353
-199.0,199,40.753828
-171.0,171,40.80185
-200.0,200,40.855558
-200.0,200,40.914542
-200.0,200,40.967719
-200.0,200,41.024629
-200.0,200,41.077843
-200.0,200,41.136538
-186.0,186,41.185699
-200.0,200,41.242895
-200.0,200,41.295742
-200.0,200,41.355018
-200.0,200,41.410076
-107.0,107,41.44066
-160.0,160,41.484783
-199.0,199,41.542256
-98.0,98,41.572258
-200.0,200,41.625516
-200.0,200,41.682289
-200.0,200,41.73769
-174.0,174,41.785874
-200.0,200,41.838959
-200.0,200,41.895298
-200.0,200,41.950578
-200.0,200,42.007112
-200.0,200,42.060319
-200.0,200,42.116783
-200.0,200,42.172244
-200.0,200,42.22888
-200.0,200,42.281768
-166.0,166,42.329443
-200.0,200,42.385058
-200.0,200,42.441186
-136.0,136,42.476701
-200.0,200,42.534495
-200.0,200,42.589666
-200.0,200,42.645977
-200.0,200,42.699842
-89.0,89,42.726119
-147.0,147,42.769198
-200.0,200,42.825814
-200.0,200,42.879161
-200.0,200,42.936464
-101.0,101,42.965089
-200.0,200,43.018652
-190.0,190,43.071255
-200.0,200,43.127237
-200.0,200,43.183197
-177.0,177,43.231868
-200.0,200,43.288815
-200.0,200,43.342586
-200.0,200,43.401354
-200.0,200,43.454677
-200.0,200,43.511703
-200.0,200,43.564628
-200.0,200,43.623564
-200.0,200,43.677274
-199.0,199,43.733605
-200.0,200,43.787117
-200.0,200,43.846586
-200.0,200,43.899859
-200.0,200,43.957138
-200.0,200,44.010716
-200.0,200,44.069779
-200.0,200,44.12338
-200.0,200,44.181835
-200.0,200,44.236941
-200.0,200,44.297867
-200.0,200,44.352102
-97.0,97,44.379024
-180.0,180,44.430794
-200.0,200,44.486663
-180.0,180,44.535869
-177.0,177,44.584752
-200.0,200,44.641386
-102.0,102,44.672073
-131.0,131,44.708124
-134.0,134,44.747382
-128.0,128,44.782627
-130.0,130,44.820677
-112.0,112,44.851957
-177.0,177,44.900399
-200.0,200,44.954159
-185.0,185,45.008864
-200.0,200,45.065816
-108.0,108,45.093278
-137.0,137,45.132893
-184.0,184,45.184825
-200.0,200,45.242198
-89.0,89,45.265007
-104.0,104,45.295418
-113.0,113,45.328278
-200.0,200,45.382149
-178.0,178,45.434051
-174.0,174,45.479548
-200.0,200,45.538862
-142.0,142,45.579728
-200.0,200,45.633438
-153.0,153,45.677678
-189.0,189,45.732733
-200.0,200,45.786674
-112.0,112,45.817201
-97.0,97,45.843972
-200.0,200,45.902567
-152.0,152,45.942666
-181.0,181,45.995185
-173.0,173,46.040169
-155.0,155,46.086431
-181.0,181,46.135015
-154.0,154,46.179057
-114.0,114,46.209888
-200.0,200,46.269253
-160.0,160,46.312787
-200.0,200,46.366507
-200.0,200,46.423339
-171.0,171,46.470408
-163.0,163,46.518485
-187.0,187,46.568068
-200.0,200,46.624883
-131.0,131,46.662397
-153.0,153,46.703253
-200.0,200,46.760103
-189.0,189,46.812861
-200.0,200,46.868528
-200.0,200,46.925418
-200.0,200,46.981044
-200.0,200,47.038677
-200.0,200,47.094678
-200.0,200,47.150917
-142.0,142,47.190781
-177.0,177,47.239743
-200.0,200,47.297209
-200.0,200,47.354065
-113.0,113,47.385347
-200.0,200,47.438644
-200.0,200,47.497941
-200.0,200,47.551459
-118.0,118,47.586296
-156.0,156,47.626865
-200.0,200,47.685866
-189.0,189,47.739095
-126.0,126,47.77406
-127.0,127,47.809302
-200.0,200,47.865212
-157.0,157,47.909278
-200.0,200,47.962896
-200.0,200,48.019577
-144.0,144,48.061996
-200.0,200,48.115375
-200.0,200,48.172202
-200.0,200,48.226564
-200.0,200,48.285257
-200.0,200,48.338598
-200.0,200,48.397114
-200.0,200,48.451302
-200.0,200,48.510234
-200.0,200,48.564418
-200.0,200,48.621211
-159.0,159,48.665612
-195.0,195,48.721177
-200.0,200,48.774744
-200.0,200,48.831614
-200.0,200,48.885019
-200.0,200,48.943921
-200.0,200,48.997279
-200.0,200,49.05478
-200.0,200,49.108779
-200.0,200,49.167634
-200.0,200,49.221499
-200.0,200,49.278695
-200.0,200,49.332179
-200.0,200,49.391222
-200.0,200,49.444853
-200.0,200,49.501856
-200.0,200,49.555733
-200.0,200,49.614271
-200.0,200,49.667539
-200.0,200,49.724951
-200.0,200,49.782923
-200.0,200,49.841463
-200.0,200,49.895181
-200.0,200,49.952005
-200.0,200,50.005463
-200.0,200,50.066612
-200.0,200,50.11984
-200.0,200,50.176439
-200.0,200,50.229986
